Title,Studio,Genre,Rating,Release Date,DTR,Day of Week,OBO,Organic Conversation,Organic Intent,Humor,Group Dynamic,Paid Push,Twitter Mentions,Facebook PTAT,Wikipedia Desktop,Wikipedia All,YouTube Views,Theater Count,Holiday
The Woman in Black: Angel of Death,Relativity Media,Horror,PG-13,1/2/2015,1,Fri,15027415,2265,423,189,67,254,1535,122609,134804,NA,NA,2602,
Inherent Vice,Warner Bros.,Human Interest Drama,R,1/9/2015,1,Fri,2773260,4007,693,837,74,315,2251,10164,497528,NA,NA,645,
Selma,Paramount,Human Interest Drama,PG-13,1/9/2015,1,Fri,11307394,10600,1728,614,68,242,11669,83439,393247,NA,NA,2179,
Taken 3,20th Century Fox,Suspense/Thriller,PG-13,1/9/2015,1,Fri,39201657,27904,6941,1197,617,457,44308,269864,582596,NA,NA,3594,
American Sniper,Warner Bros.,Action Drama,R,1/16/2015,1,Fri,89269066,18470,5006,861,669,685,21716,815422,1456374,NA,NA,3555,Martin Luther King Jr. Day
Blackhat,Universal,Suspense/Thriller,R,1/16/2015,1,Fri,3901815,2759,289,177,20,105,2285,112124,248327,NA,NA,2567,Martin Luther King Jr. Day
Foxcatcher,Sony Pictures Classics,Human Interest Drama,R,1/16/2015,1,Fri,980000,5006,858,415,42,100,3540,4779,1420489,NA,NA,759,Martin Luther King Jr. Day
Paddington,The Weinstein Company,Family,PG,1/16/2015,1,Fri,18966676,16655,2709,785,290,3929,22060,68120,289336,NA,NA,3303,Martin Luther King Jr. Day
The Wedding Ringer,Sony Pictures,Human Interest Comedy,R,1/16/2015,1,Fri,20649306,2266,650,918,36,392,2571,243920,138637,NA,NA,3003,Martin Luther King Jr. Day
Mortdecai,Lionsgate Films,Zany Comedy,R,1/23/2015,1,Fri,4200586,3666,624,421,36,502,3727,43735,366650,NA,NA,2648,
Strange Magic,Disney,Family,PG,1/23/2015,1,Fri,5504441,1274,65,278,15,102,671,11883,109471,NA,NA,3020,
The Boy Next Door,Universal,Suspense/Thriller,R,1/23/2015,1,Fri,14910105,3821,929,247,77,353,5898,163154,332751,NA,NA,2602,
A Most Violent Year,A24 Films,Suspense/Thriller,R,1/30/2015,1,Fri,1512224,2781,450,424,32,118,1355,2597,299147,NA,NA,818,
Black or White,Relativity Media,Human Interest Drama,PG-13,1/30/2015,1,Fri,6213362,4531,839,306,26,162,1464,135182,86038,NA,NA,1823,
Project Almanac,Paramount,Suspense/Thriller,PG-13,1/30/2015,1,Fri,8310252,1044,236,72,21,173,1754,103460,219184,NA,NA,2893,
The Loft,Open Road Films,Suspense/Thriller,R,1/30/2015,1,Fri,2747342,2197,496,98,19,100,968,56056,150093,NA,NA,1841,
Jupiter Ascending,Warner Bros.,Action Drama,PG-13,2/6/2015,1,Fri,18372372,4860,966,268,52,796,4535,198325,844609,NA,NA,3181,
Seventh Son,Universal,Action Adventure,PG-13,2/6/2015,1,Fri,7217640,2552,463,138,15,132,1132,119296,520783,NA,NA,2875,
The SpongeBob Movie: Sponge Out of Water,Paramount,Family,PG,2/6/2015,1,Fri,55365012,45876,7332,5178,299,1151,43107,440905,270553,NA,NA,3641,
Fifty Shades of Grey,Universal,Romantic Drama,R,2/13/2015,1,Fri,85171450,107974,19390,8000,2541,3865,131495,3745914,1411816,NA,NA,3646,President's Day
Kingsman: The Secret Service,20th Century Fox,Action Drama,R,2/13/2015,1,Fri,36206331,14131,2897,678,187,876,17673,100564,635462,NA,NA,3204,President's Day
Hot Tub Time Machine 2,Paramount,Zany Comedy,R,2/20/2015,1,Fri,5963324,4014,521,605,18,325,3107,110616,237176,NA,NA,2880,
"McFarland, USA",Disney,Human Interest Drama,PG,2/20/2015,1,Fri,11020798,2799,550,157,22,317,2481,32159,159144,NA,NA,2755,
Still Alice,Sony Pictures Classics,Human Interest Drama,PG-13,2/20/2015,1,Fri,2166967,5470,806,504,44,145,6657,NA,463257,NA,NA,765,
The DUFF,Lionsgate Films,Human Interest Comedy,PG-13,2/20/2015,1,Fri,10809149,4125,870,480,55,410,3649,133643,227884,NA,NA,2575,
Focus (2015),Warner Bros.,Human Interest Comedy,R,2/27/2015,1,Fri,18685137,NA,NA,NA,NA,NA,NA,99235,385699,NA,NA,3323,
The Lazarus Effect,Relativity Media,Horror,PG-13,2/27/2015,1,Fri,10203437,1470,501,70,28,57,882,129722,144998,NA,NA,2666,
Chappie,Sony Pictures,Action Drama,R,3/6/2015,1,Fri,13346782,11936,2018,399,125,801,13258,295980,622716,NA,NA,3201,
The Second Best Exotic Marigold Hotel,Fox Searchlight Pictures,Human Interest Comedy,PG,3/6/2015,1,Fri,8540370,2122,302,194,14,139,799,42372,183412,NA,NA,1573,
Unfinished Business,20th Century Fox,Human Interest Comedy,R,3/6/2015,1,Fri,4772613,2777,351,315,6,134,3482,7153,120601,NA,NA,2777,
Cinderella (2015),Disney,Family,PG,3/13/2015,1,Fri,67877361,54126,10644,3611,442,1289,28837,647501,783142,NA,NA,3845,
Run All Night,Warner Bros.,Suspense/Thriller,R,3/13/2015,1,Fri,11012305,1226,163,87,6,130,1865,48374,178185,NA,NA,3171,
