MOVIE,OBO,UA_T,TA_T,DI_T,FC_T,Year,Genre,Studio
THE MAN FROM U.N.C.L.E.,13421036,3,50,32,3,2015,ACTION,CC
THE MAZE RUNNER: SCORCH TRIALS,30316510,12,77,54,13,2015,ACTION ADVENTURE,CC
THE NIGHT BEFORE (2015),9880536,4,46,39,3,2015,COMEDY,CC
THE PEANUTS MOVIE,44213073,20,77,44,6,2015,ANIMATION,CC
THE PERFECT GUY,25888154,4,49,37,4,2015,THRILLER,CC
THE SECOND BEST EXOTIC MARIGOLD HOTEL,8540370,2,35,31,4,2015,COMEDY,CC
THE SPONGEBOB MOVIE: SPONGE OUT OF WATER,55365012,12,76,35,6,2015,ANIMATION,CC
THE TRANSPORTER REFUELED,9005474,1,49,44,2,2015,ACTION,CC
THE VISIT (2015-I),25427560,4,53,38,5,2015,HORROR,CC
THE WALK,3719177,2,47,28,1,2015,ACTION,CC
THE WEDDING RINGER,24042152,6,60,41,4,2015,COMEDY,CC
THE WOMAN IN BLACK: ANGEL OF DEATH,15027415,6,49,33,4,2015,HORROR,CC
TRAINWRECK,30097040,9,45,28,2,2015,ROMANTIC COMEDY,CC
UNFINISHED BUSINESS,4772613,4,49,34,2,2015,HUMN INTST CMDY,DD
UNFRIENDED,15845115,7,48,31,3,2015,HORROR,DD
VACATION (2015),14681108,8,59,38,5,2015,HUMN INTST CMDY,DD
VICTOR FRANKENSTEIN,2469341,3,48,35,4,2015,SUSPNS/THRILLER,DD
WAR ROOM,11351389,1,26,25,1,2015,HUMN INTST DRMA,DD
WE ARE YOUR FRIENDS,1767308,0,39,31,2,2015,HUMN INTST DRMA,DD
WOODLAWN,4002226,0,20,32,0,2015,HUMN INTST DRMA,DD
10 CLOVERFIELD LANE,24702752,7,49,38,3,2016,SUSPNS/THRILLER,DD
13 HOURS: THE SECRET SOLDIERS OF BENGHAZI,19224408,3,38,32,2,2016,ACTION DRAMA,DD
ALICE THROUGH THE LOOKING GLASS,33507621,16,87,46,10,2016,FAMILY,DD
ALLIED,12701743,4,51,31,2,2016,HUMN INTST DRMA,DD
ALMOST CHRISTMAS,15134235,5,49,42,2,2016,HUMN INTST CMDY,DD
ARRIVAL,24074047,5,47,39,1,2016,ACTION DRAMA,DD
ASSASSIN'S CREED,14800946,9,79,48,8,2016,ACTION DRAMA,DD
BAD MOMS,23817340,10,72,38,4,2016,HUMN INTST CMDY,DD
BAD SANTA 2,6176680,11,80,40,7,2016,HUMN INTST CMDY,DD
BARBERSHOP: THE NEXT CUT,20242415,7,62,37,5,2016,HUMN INTST CMDY,DD
BATMAN V SUPERMAN: DAWN OF JUSTICE,166007347,25,91,63,21,2016,ACTION ADVENTURE,DD
BEN-HUR (2016),11203815,3,43,28,2,2016,ACTION DRAMA,DD
BLAIR WITCH,9576057,5,65,34,4,2016,HORROR,DD
BLEED FOR THIS,2366810,0,26,31,0,2016,HUMN INTST DRMA,DD
BRIDGET JONES'S BABY,8571785,8,64,27,4,2016,ROMANTIC COMEDY,DD
CAPTAIN AMERICA: CIVIL WAR,179139142,32,89,69,25,2016,ACTION ADVENTURE,DD
CENTRAL INTELLIGENCE,35535250,10,61,43,5,2016,ACTION COMEDY,DD
COLLATERAL BEAUTY,7102085,4,56,36,4,2016,HUMN INTST DRMA,DD
CRIMINAL (2016),5767278,2,39,36,3,2016,ACTION DRAMA,DD
DEADPOOL,152193853,19,75,52,12,2016,ACTION ADVENTURE,DD
DEEPWATER HORIZON,20223544,3,59,37,3,2016,ACTION DRAMA,DD
DIRTY GRANDPA,11111875,5,62,37,2,2016,HUMN INTST CMDY,DD
DOCTOR STRANGE,85058311,21,74,58,13,2016,ACTION ADVENTURE,DD
DON'T BREATHE,26411706,5,33,37,3,2016,HORROR,DD
EDDIE THE EAGLE,6084682,4,35,25,1,2016,HUMN INTST CMDY,DD
FANTASTIC BEASTS AND WHERE TO FIND THEM,74403387,18,75,59,13,2016,ACTION ADVENTURE,DD
FENCES,11600170,5,47,38,3,2016,HUMN INTST DRMA,DD
FIFTY SHADES OF BLACK,5900528,5,52,34,2,2016,ZANY COMEDY,DD
FINDING DORY,135060273,31,88,64,10,2016,FAMILY,DD
FLORENCE FOSTER JENKINS,6601313,0,28,28,1,2016,HUMN INTST DRMA,DD
FREE STATE OF JONES,7572206,2,39,30,3,2016,HUMN INTST DRMA,DD
GHOSTBUSTERS (2016),46018755,19,91,44,5,2016,ZANY COMEDY,DD
GOD'S NOT DEAD 2,7623662,3,46,38,2,2016,HUMN INTST DRMA,DD
GODS OF EGYPT,14123903,5,53,30,5,2016,ACTION ADVENTURE,DD
HACKSAW RIDGE,15190758,3,36,35,1,2016,ACTION DRAMA,DD
"HAIL, CAESAR!",11355225,4,45,36,4,2016,HUMN INTST CMDY,DD
HANDS OF STONE,1751388,0,35,32,3,2016,HUMN INTST DRMA,DD
HARDCORE HENRY,5107604,2,35,28,1,2016,ACTION DRAMA,DD
HILLARY'S AMERICA: THE SECRET HISTORY OF THE DEMOCRATIC PARTY,3964646,0,20,35,2,2016,DOCUMENTARY,DD
HILLSONG - LET HOPE RISE,1357243,0,25,29,1,2016,DOCUMENTARY,DD
HOW TO BE SINGLE,19904293,7,54,31,3,2016,ROMANTIC COMEDY,DD
ICE AGE: COLLISION COURSE,21373064,9,86,45,2,2016,FAMILY,DD
INCARNATE,2534884,0,31,35,1,2016,HORROR,DD
INDEPENDENCE DAY: RESURGENCE,41039944,16,84,48,10,2016,ACTION ADVENTURE,DD
JASON BOURNE,59215365,12,78,48,9,2016,ACTION DRAMA,DD
KEANU,9453224,5,47,30,3,2016,ZANY COMEDY,DD
KUBO AND THE TWO STRINGS,12608372,6,39,36,1,2016,FAMILY,DD
KUNG FU PANDA 3,41282042,16,86,38,6,2016,FAMILY,DD
LIGHTS OUT,21688103,4,31,36,1,2016,HORROR,DD
LONDON HAS FALLEN,21635601,6,63,43,5,2016,ACTION DRAMA,DD
MASTERMINDS (2016),6541205,5,65,37,3,2016,ZANY COMEDY,DD
ME BEFORE YOU,18723269,6,42,38,3,2016,ROMANTIC DRAMA,DD
MECHANIC: RESURRECTION,7456525,3,42,38,1,2016,ACTION DRAMA,DD
MEET THE BLACKS,4055940,1,38,34,2,2016,ZANY COMEDY,DD
MIKE & DAVE NEED WEDDING DATES,16628170,2,50,35,2,2016,ZANY COMEDY,DD
MIRACLES FROM HEAVEN,14812393,3,47,35,3,2016,HUMN INTST DRMA,DD
MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,28871140,9,74,49,12,2016,ACTION ADVENTURE,DD
MISS SLOANE,1844972,1,31,29,1,2016,SUSPNS/THRILLER,DD
MOANA,56631401,22,71,50,5,2016,FAMILY,DD
MONEY MONSTER,14788157,4,52,37,5,2016,SUSPNS/THRILLER,DD
MORGAN,2518540,0,27,31,1,2016,SUSPNS/THRILLER,DD
MOTHER'S DAY (2016),8369184,4,49,37,5,2016,HUMN INTST CMDY,DD
MY BIG FAT GREEK WEDDING 2,17861950,8,70,25,5,2016,ROMANTIC COMEDY,DD
NEIGHBORS 2: SORORITY RISING,21760405,9,73,40,6,2016,HUMN INTST CMDY,DD
NERVE,9445456,3,36,37,2,2016,SUSPNS/THRILLER,DD
NINE LIVES (2016),6249915,5,51,28,2,2016,FAMILY,DD
NORM OF THE NORTH,9375822,1,27,35,1,2016,FAMILY,DD
NOW YOU SEE ME 2,22383146,6,68,42,4,2016,ACTION ADVENTURE,DD
OFFICE CHRISTMAS PARTY,16890204,8,70,45,6,2016,ZANY COMEDY,DD
PASSENGERS (2016),22390906,11,67,40,3,2016,ACTION DRAMA,DD
PETE'S DRAGON (2016),21514095,10,71,32,2,2016,FAMILY,DD
POPSTAR: NEVER STOP NEVER STOPPING,4698715,1,35,31,1,2016,ZANY COMEDY,DD
PRIDE AND PREJUDICE AND ZOMBIES,5324240,3,54,26,3,2016,ACTION COMEDY,DD
QUEEN OF KATWE,2495427,0,38,32,2,2016,HUMN INTST DRMA,DD
RACE (2016),7353922,2,35,34,2,2016,HUMN INTST DRMA,DD
RATCHET & CLANK,4869278,2,45,40,3,2016,FAMILY,DD
RIDE ALONG 2,41006705,8,71,40,5,2016,ACTION COMEDY,DD
RISEN (2016),11801271,3,35,30,1,2016,HUMN INTST DRMA,DD
ROGUE ONE: A STAR WARS STORY,155081681,23,80,62,11,2016,ACTION ADVENTURE,DD
RULES DON'T APPLY,1589625,1,33,29,2,2016,ROMANTIC DRAMA,DD
SAUSAGE PARTY,34263534,9,56,42,4,2016,ZANY COMEDY,DD
SHUT IN,3613567,3,41,35,1,2016,SUSPNS/THRILLER,DD
SING (2016),54931630,16,65,45,3,2016,FAMILY,DD
SNOWDEN,8000058,2,60,34,5,2016,HUMN INTST DRMA,DD
STAR TREK BEYOND,59253211,13,75,47,8,2016,ACTION ADVENTURE,DD
STORKS,21311407,9,68,43,6,2016,FAMILY,DD
SUICIDE SQUAD,133682248,24,80,57,13,2016,ACTION ADVENTURE,DD
SULLY,35028301,6,64,39,6,2016,HUMN INTST DRMA,DD
SWISS ARMY MAN,1673746,1,30,31,1,2016,HUMN INTST CMDY,DD
TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS,35316382,13,85,39,3,2016,FAMILY,DD
THE 5TH WAVE,10326356,5,42,33,2,2016,ACTION,EE
THE ANGRY BIRDS MOVIE,38155177,15,82,31,4,2016,ANIMATION,EE
THE BOY (2016),10778392,4,36,32,1,2016,HORROR,EE
THE BROTHERS GRIMSBY,3258327,1,45,23,1,2016,COMEDY,EE
THE CHOICE (2016),6050443,3,31,29,2,2016,ROMANCE,EE
THE CONJURING 2,40406314,13,69,43,7,2016,HORROR,EE
THE DARKNESS (2016),4950859,0,40,35,3,2016,HORROR,EE
THE DISAPPOINTMENTS ROOM,1402823,1,25,30,1,2016,HORROR,EE
THE DIVERGENT SERIES: ALLEGIANT,29027348,8,82,47,8,2016,ACTION ADVENTURE,EE
THE EDGE OF SEVENTEEN,4754215,4,49,30,2,2016,COMEDY,EE
THE FINEST HOURS,10288932,1,41,30,2,2016,THRILLER,EE
THE FOREST (2016-I),12741176,5,40,34,1,2016,HORROR,EE
THE HUNTSMAN: WINTER'S WAR,19445035,4,72,40,6,2016,ACTION ADVENTURE,EE
THE INFILTRATOR,5303775,0,30,33,2,2016,DRAMA,EE
THE LEGEND OF TARZAN,46582405,13,83,41,6,2016,ACTION ADVENTURE,EE
THE LIGHT BETWEEN OCEANS,6179208,0,37,30,1,2016,DRAMA,EE
THE NICE GUYS,11203270,5,53,31,2,2016,COMEDY,EE
THE PERFECT MATCH,4294232,5,40,31,2,2016,COMEDY,EE
THE PURGE: ELECTION YEAR,36139295,9,72,42,4,2016,THRILLER,EE
THE REVENANT (2015),39826840,11,53,40,4,2016,ACTION ADVENTURE,EE
THE SECRET LIFE OF PETS,104352905,22,80,51,6,2016,ANIMATION,EE
THE WILD LIFE (2016),3342697,2,45,41,2,2016,ANIMATION,EE
THE WITCH,8800230,3,39,34,1,2016,HORROR,EE
THE YOUNG MESSIAH,3294876,0,31,33,1,2016,DRAMA,EE
TRIPLE 9,6109085,0,30,29,2,2016,ACTION DRAMA,EE
TROLLS,46581142,24,79,42,5,2016,FAMILY,EE
WAR DOGS (2016),14685305,5,50,34,2,2016,HUMN INTST CMDY,EE
WARCRAFT,24166110,9,62,38,3,2016,ACTION ADVENTURE,EE
WHEN THE BOUGH BREAKS,14202323,4,39,34,1,2016,SUSPNS/THRILLER,EE
WHISKEY TANGO FOXTROT,7443007,1,51,34,2,2016,HUMN INTST CMDY,EE
WHY HIM?,15536420,6,50,37,3,2016,HUMN INTST CMDY,EE
X-MEN: APOCALYPSE,79810133,22,90,61,10,2016,ACTION ADVENTURE,EE
ZOOLANDER 2,15881410,11,85,37,4,2016,ZANY COMEDY,EE
ZOOTOPIA,75063401,19,70,43,4,2016,FAMILY,EE
47 METERS DOWN,11205562,3,38,35,3,2017,SUSPNS/THRILLER,EE
A CURE FOR WELLNESS,5004463,3,35,33,1,2017,HORROR,EE
A DOG'S PURPOSE,18222810,8,60,50,5,2017,COMEDY,EE
ALIEN: COVENANT,36160621,15,73,45,9,2017,HORROR,EE
ALL EYEZ ON ME,26435354,4,39,38,3,2017,HUMN INTST DRMA,EE
ANNABELLE: CREATION,35006404,6,53,39,5,2017,HORROR,EE
ATOMIC BLONDE,18286420,8,59,35,3,2017,SUSPNS/THRILLER,EE
BABY DRIVER,20553320,5,47,36,3,2017,ACTION DRAMA,EE
BAYWATCH,23106943,17,86,29,5,2017,ACTION COMEDY,EE
BEAUTY AND THE BEAST (2017),174750616,31,95,60,18,2017,FAMILY,EE
BEFORE I FALL,4690214,2,36,25,1,2017,HUMN INTST DRMA,EE
BORN IN CHINA,4790367,1,35,33,1,2017,DOCUMENTARY,EE
CAPTAIN UNDERPANTS: THE FIRST EPIC MOVIE,23851539,6,66,32,3,2017,FAMILY,EE
CARS 3,53688680,22,87,41,7,2017,FAMILY,EE
CHIPS (2017),7722802,5,58,27,4,2017,ACTION COMEDY,EE
COLLIDE,1512824,0,31,25,1,2017,ACTION DRAMA,EE
DESPICABLE ME 3,72434025,22,93,49,9,2017,FAMILY,EE
DETROIT (2017),7125601,3,44,33,1,2017,HUMN INTST DRMA,EE
DIARY OF A WIMPY KID: THE LONG HAUL,7126084,3,69,25,2,2017,FAMILY,EE
DUNKIRK,50513488,10,49,39,7,2017,ACTION DRAMA,EE
"EVERYTHING, EVERYTHING",11727390,3,29,30,2,2017,ROMANTIC DRAMA,EE
FIFTY SHADES DARKER,46607250,13,81,29,4,2017,ROMANTIC DRAMA,EE
FIST FIGHT,14121149,6,53,38,3,2017,HUMN INTST CMDY,EE
GET OUT,33377060,7,43,36,3,2017,HORROR,EE
GHOST IN THE SHELL (2017),18676033,9,60,39,4,2017,ACTION DRAMA,EE
GIRLS TRIP,31201920,6,59,34,5,2017,HUMN INTST CMDY,EE
GOING IN STYLE (2017),11932330,5,42,31,3,2017,HUMN INTST CMDY,EE
GOLD (2017),3471316,0,35,32,1,2017,HUMN INTST DRMA,EE
GUARDIANS OF THE GALAXY VOL. 2,146510104,23,88,63,28,2017,ACTION ADVENTURE,EE
HIDDEN FIGURES,22800057,6,48,42,4,2017,HUMN INTST DRMA,EE
HOW TO BE A LATIN LOVER,12252439,2,32,32,1,2017,HUMN INTST CMDY,EE
IT COMES AT NIGHT,5988370,2,35,37,2,2017,HORROR,EE
JOHN WICK: CHAPTER 2,30436123,7,58,46,5,2017,ACTION DRAMA,EE
KIDNAP (2017-I),10016323,1,43,36,3,2017,SUSPNS/THRILLER,EE
KING ARTHUR: LEGEND OF THE SWORD,15371270,6,69,42,7,2017,ACTION ADVENTURE,EE
KONG: SKULL ISLAND,61025472,12,74,47,9,2017,ACTION ADVENTURE,EE
LIFE (2017),12501936,6,47,37,2,2017,SUSPNS/THRILLER,EE
LIVE BY NIGHT,6003052,3,41,33,1,2017,SUSPNS/THRILLER,EE
LOGAN,88411916,24,72,62,11,2017,ACTION DRAMA,EE
LOGAN LUCKY,7600036,3,36,30,1,2017,ACTION COMEDY,EE
LOWRIDERS,2403885,0,27,31,1,2017,HUMN INTST DRMA,EE
MEGAN LEAVEY,3810867,0,18,32,1,2017,HUMN INTST DRMA,EE
MONSTER TRUCKS,14174039,7,53,35,0,2017,FAMILY,EE
PATRIOTS DAY,13753384,4,63,40,4,2017,HUMN INTST DRMA,EE
PHOENIX FORGOTTEN,1816499,0,21,32,1,2017,HORROR,EE
PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES,78476767,16,92,56,14,2017,ACTION ADVENTURE,EE
POWER RANGERS,40300288,19,80,34,4,2017,FAMILY,EE
RESIDENT EVIL: THE FINAL CHAPTER,13601682,8,76,44,5,2017,ACTION DRAMA,EE
RINGS,13002632,7,46,33,3,2017,HORROR,EE
ROCK DOG,3704749,5,39,40,2,2017,FAMILY,EE
ROUGH NIGHT,8004283,5,47,34,2,2017,HUMN INTST CMDY,EE
SILENCE (2016),2374886,2,37,30,2,2017,HUMN INTST DRMA,EE
SLEEPLESS,9771305,2,40,34,2,2017,ACTION DRAMA,EE
SMURFS: THE LOST VILLAGE,13210449,14,71,32,2,2017,FAMILY,EE
SNATCHED,19542248,5,61,35,4,2017,HUMN INTST CMDY,EE
SPIDER-MAN: HOMECOMING,117027503,32,88,53,15,2017,ACTION ADVENTURE,EE
SPLIT (2017),40010975,9,43,37,3,2017,SUSPNS/THRILLER,EE
THE BELKO EXPERIMENT,4137230,0,27,29,1,2017,HORROR,EE
THE BOSS BABY,50198902,18,67,37,5,2017,ANIMATION,EE
THE BYE BYE MAN,15204094,3,38,31,1,2017,HORROR,EE
THE CASE FOR CHRIST,3967885,0,31,33,2,2017,DRAMA,EE
THE CIRCLE (2017),9034148,5,54,35,5,2017,DRAMA,EE
THE EMOJI MOVIE,24531923,16,79,27,2,2017,ANIMATION,EE
THE FATE OF THE FURIOUS,98786705,21,88,55,10,2017,ACTION,EE
THE FOUNDER,3404102,0,35,25,1,2017,DRAMA,EE
THE GLASS CASTLE,4678548,2,32,30,1,2017,DRAMA,EE
THE GREAT WALL,21508490,6,64,33,3,2017,ACTION,EE
THE HITMAN'S BODYGUARD,21384504,5,52,42,2,2017,ACTION,EE
THE HOUSE,8724795,3,49,35,3,2017,COMEDY,EE
THE LEGO BATMAN MOVIE,53003468,15,83,39,5,2017,ANIMATION,EE
THE MUMMY (2017),31668375,14,86,44,6,2017,ACTION ADVENTURE,EE
THE NUT JOB 2: NUTTY BY NATURE,8342311,2,56,30,1,2017,ANIMATION,EE
THE PROMISE (2017),4095718,1,34,29,1,2017,DRAMA,EE
THE RESURRECTION OF GAVIN STONE,1206771,0,29,30,1,2017,COMEDY,EE
THE SHACK,16172119,3,36,28,3,2017,DRAMA,EE
TRANSFORMERS: THE LAST KNIGHT,44680073,19,87,46,7,2017,ACTION ADVENTURE,EE
UNDERWORLD: BLOOD WARS,13688751,7,58,44,5,2017,HORROR,EE
UNFORGETTABLE (2017),4785431,1,40,29,2,2017,SUSPNS/THRILLER,EE
VALERIAN AND THE CITY OF A THOUSAND PLANETS,17007624,4,46,33,2,2017,ACTION ADVENTURE,EE
WAR FOR THE PLANET OF THE APES,56262929,14,85,41,8,2017,ACTION DRAMA,EE
WISH UPON,5467084,3,29,30,1,2017,HORROR,EE
WONDER WOMAN,103251471,24,90,50,13,2017,ACTION ADVENTURE,EE
XXX: RETURN OF XANDER CAGE,20130142,8,59,45,4,2017,ACTION ADVENTURE,EE
